"","ceRNA","log_rank_p","cancer","sur_sig"
"109","AC016747.1-MIR93-MAPK1",0.133469739238363,"BRCA","no_sig"
"110","AC016747.1-MIR93-PPP3R1",0.0362880853642014,"BRCA","sig"
"111","AC016747.1-MIR93-PSMD11",0.0755800224667326,"BRCA","no_sig"
"112","AC016747.1-MIR93-TNFRSF21",0.0889601899005021,"BRCA","no_sig"
"113","AC016747.1-MIR93-UBR1",0.0139364601740808,"BRCA","sig"
"114","AC022784.1-MIR106B-PPIA",0.221963897377019,"BRCA","no_sig"
"115","AC022784.1-MIR106B-PPP3R1",0.380938993678436,"BRCA","no_sig"
"116","AC022784.1-MIR106B-TNFRSF21",0.0640225028091614,"BRCA","no_sig"
"117","AC022784.1-MIR331-GPI",0.297707569428249,"BRCA","no_sig"
"118","AC022784.1-MIR331-PSMC4",0.495951887915428,"BRCA","no_sig"
"119","AC023644.1-MIR342-ADM",0.493101128421487,"BRCA","no_sig"
"120","AC023644.1-MIR342-BMP2",0.063089101724824,"BRCA","no_sig"
"121","AC023644.1-MIR342-FAM3C",0.120608406156894,"BRCA","no_sig"
"122","AC023644.1-MIR342-IFNAR2",0.0754937618525655,"BRCA","no_sig"
"123","AC023644.1-MIR342-IGF2R",0.0432479735101953,"BRCA","sig"
"124","AC023644.1-MIR342-NDRG1",0.0160078805425248,"BRCA","sig"
"125","AC023644.1-MIR342-SHC3",0.0727090988580933,"BRCA","no_sig"
"126","AC023644.1-MIR342-TFRC",0.833673476838739,"BRCA","no_sig"
"127","AC027031.2-MIR331-GPI",0.196462902696755,"BRCA","no_sig"
"128","AC027031.2-MIR331-PSMC4",0.622903384255563,"BRCA","no_sig"
"129","AC027031.2-MIR331-SOCS1",0.0898216849981259,"BRCA","no_sig"
"130","AC036108.3-MIR4664-ADM",0.245651147517381,"BRCA","no_sig"
"131","AC036108.3-MIR4664-BMP2",0.171700520559394,"BRCA","no_sig"
"132","AC036108.3-MIR4664-CRLF1",0.351870127903088,"BRCA","no_sig"
"133","AC036108.3-MIR4664-NPR1",0.25552591137897,"BRCA","no_sig"
"134","AC036108.3-MIR4664-PLCG2",0.158171880818399,"BRCA","no_sig"
"135","AC040970.1-MIR125B1-ADRM1",0.230753012289009,"BRCA","no_sig"
"136","AC040970.1-MIR125B1-HDGF",0.52120159302079,"BRCA","no_sig"
