gene	p.value	fdr	ratio	test_type
ADCY4	5.00569732242759e-06	3.37205991127468e-05	0.452388296173621	t_test
ADCY5	2.63888082541639e-11	2.64316900675769e-09	0.101640412005854	t_test
ADCY9	4.30339381977024e-05	0.00019886444450876	0.389663182091543	t_test
ADCYAP1	1.07584770618435e-06	9.8502109643068e-06	0.150995252647378	t_test
ADCYAP1R1	1.91934913228889e-08	4.36405670737695e-07	0.153594660483849	t_test
ADD1	0.000113861148004336	0.000450664054807973	0.559685038390371	t_test
ADD2	0.0155692414543723	0.0300219785281879	2.92570922818722	t_test
ADGRA2	4.04742597871469e-06	2.83744745121967e-05	0.195928175071341	t_test
ADGRB3	1.41957509776163e-11	1.63669859832575e-09	0.1189313995557	t_test
ADGRD1	1.30132583821912e-10	8.58232423181055e-09	0.0639170556114195	t_test
ADGRE2	0.00017858890226726	0.000661902346839756	3.03641729071595	t_test
ADGRE5	0.00041218738523719	0.00134508552958892	0.587626111057169	t_test
ADGRF2	0.0225574761682648	0.0412729739536233	3.41896490424088	t_test
ADGRF5	0.000397118219946044	0.00130120968980889	0.6550032165513	t_test
ADGRG1	0.00382252022402523	0.00907416813956871	1.95866577496927	t_test
ADGRG3	0.00437427084222013	0.0101774193550261	0.659735730100218	t_test
ADGRL3	2.240641811624e-08	4.87887577079977e-07	0.652971532169971	t_test
ADGRL4	5.80822405739929e-06	3.81329777729951e-05	0.459941011369928	t_test
ADH1B	6.78457324636196e-20	2.1381289553898e-16	0.0441282163078281	t_test
ADH1C	7.59071400746974e-06	4.72422457024117e-05	0.355121820889222	t_test
ADHFE1	1.33493888785891e-09	5.6299291096913e-08	0.462689546828683	t_test
ADK	0.00125782427659401	0.00349478014159078	1.6343633482903	t_test
ADM2	5.18285639090711e-06	3.46807751652097e-05	5.54592987540436	t_test
ADPGK	5.43084031536771e-06	3.60391912604898e-05	1.89061725693203	t_test
ADPRHL1	0.00550396678167428	0.0124074389712694	0.108705274051659	t_test
