lnc	p.value	fdr	ratio	test_type
AL031058.1	0.0193852291016175	0.0499694602588004	2.72116697137104	t_test
AL031123.2	7.57624653812159e-05	0.000646803993878457	4.34788874423925	t_test
AL031186.1	0.0058525209703784	0.0194546922543364	2.58825845217962	t_test
AL031432.3	0.00725806523142681	0.0228893913764459	1.76724281706531	t_test
AL031432.4	0.00621306678709012	0.020403711328804	1.77536770044261	t_test
AL031587.3	0.00392984765190595	0.01408910446382	0.648268882769501	t_test
AL031590.1	0.0160989230125419	0.0428898295077239	2.22127570194824	t_test
AL031595.2	0.000873351863146896	0.0043412020967322	0.308141280185435	t_test
AL031600.1	0.00154853737138839	0.00676350783590656	2.9071289544366	t_test
AL031658.1	0.000148547986904932	0.00110535858533791	0.547409135170848	t_test
AL031667.3	0.00631331956210459	0.0205881404507366	1.93510498312815	t_test
AL031775.1	2.58617085856504e-05	0.000273967261275084	2.16021299475889	t_test
AL031963.3	0.000421139708459415	0.00246674697249831	2.18286574109718	t_test
AL031985.3	2.59552996693145e-07	7.99098788569021e-06	2.83159659482697	t_test
AL033527.3	0.000119718614556642	0.000940564426325392	4.12653152011235	t_test
AL035461.2	4.90086462089843e-07	1.30495454716463e-05	2.75766747296336	t_test
AL035653.1	0.00112522700635476	0.00532456122315423	0.505189658356728	t_test
AL049838.1	1.24245270647535e-11	3.82520127006097e-09	0.450730543133793	t_test
AL049871.1	0.00393771054127711	0.014107027000968	0.511919924936926	t_test
AL050309.1	0.0183028621902037	0.0477289037315742	1.59548745674512	t_test
AL078644.1	0.00290090859205323	0.0110006741527746	2.40065715110729	t_test
AL080317.1	5.60115605932371e-06	8.4896291533011e-05	3.02691363252173	t_test
AL080317.2	0.000189741851830966	0.00132523112514132	2.14046488801491	t_test
AL096701.4	0.00210127048554872	0.00849127023118375	1.67923736342329	t_test
AL096828.3	0.000142673204920931	0.00107013500166131	4.80698610129518	t_test
AL096854.1	0.00989782459336884	0.0290571600397008	3.67476056730103	t_test
AL096865.1	0.00542753605929013	0.0182249779332401	2.74627431421193	t_test
AL109615.2	8.43163695566601e-07	2.03269814226264e-05	5.51987444444272	t_test
AL109615.3	1.53397200543408e-07	5.55613683732962e-06	10.529210873478	t_test
AL109659.2	7.55502642236814e-05	0.000646112155496275	0.562868019540772	t_test
AL109741.1	6.99290211741672e-06	0.000100722326989458	0.366725940779396	t_test
AL109811.1	0.00248148055122123	0.00976339712085925	2.05263052969438	t_test
AL109917.1	0.00221161895385082	0.00886447108760709	2.79267325159316	t_test
AL110114.1	5.95212359483542e-05	0.000533093833239259	2.05323407595307	t_test
AL117332.1	0.000335790812501055	0.00204344882358773	1.83855598835255	t_test
AL117336.1	5.32968653207221e-06	8.15342728477879e-05	0.345891592720892	t_test
AL117336.2	0.0158403777004169	0.0423679684328584	1.61310656459613	t_test
AL117344.2	0.006296703484194	0.0205634545315726	1.96087548056989	t_test
AL117379.1	4.39111458405073e-05	0.000417579738243897	2.73944476988121	t_test
AL121658.1	0.000263493740887422	0.00169027131250263	2.18325660046593	t_test
AL121772.1	0.00142744331423217	0.00637496442965338	3.08235805279634	t_test
AL121782.1	0.00268859551562973	0.0103711993030478	3.22269765177754	t_test
AL121820.1	3.24344699367947e-12	1.22901691468193e-09	0.525692825346431	t_test
AL121821.2	1.30464180858643e-10	2.4717944419603e-08	0.161352744178081	t_test
AL121832.2	1.98856898384008e-07	6.53046054293082e-06	2.6883637823754	t_test
AL121832.3	9.12893146823352e-08	3.56897749305701e-06	5.26818480530917	t_test
AL121917.1	0.000607104435402799	0.00326764571471118	2.48822797476639	t_test
AL121929.2	0.00025918459745909	0.00167113000927156	0.464724772258735	t_test
AL122035.1	4.80825041329428e-07	1.2872522573852e-05	0.415189474325759	t_test
AL122035.2	0.00492095875148675	0.0168228782562623	0.371518194729968	t_test
AL132712.2	0.00452367142469353	0.0158039754879718	2.77084612745272	t_test
AL132800.1	0.00286251640876673	0.0108886707637633	1.76123496085293	t_test
AL133215.2	6.19556509381618e-06	9.16497106670825e-05	4.59348331868067	t_test
AL133338.1	0.00901098183843878	0.0271819329676359	1.59122182672533	t_test
AL133371.2	1.67820116627375e-07	5.90487067504607e-06	0.590468542435409	t_test
AL133467.1	9.1392470852778e-06	0.000123342277101585	0.350989435267725	t_test
AL133477.1	0.00120368328031529	0.00560429474369861	2.17177821213681	t_test
AL133482.1	1.72053054082477e-06	3.57609006080288e-05	0.153056262938882	t_test
AL133551.1	0.000390770042890528	0.00231362167221003	3.30006542342901	t_test
AL135910.1	0.00248045740610242	0.00976339712085925	0.6644937142254	t_test
AL135960.1	5.69326687139235e-06	8.60277073879716e-05	0.428035582528063	t_test
AL135999.1	0.000769975809902943	0.00393046719127658	2.59033281402703	t_test
AL136038.4	0.00422913109037367	0.0149552762032884	2.073491446895	t_test
AL136040.1	0.00147607911525677	0.00652707874484275	1.81025207238009	t_test
AL136084.1	0.0146179142786397	0.0396956150697791	2.79410688757214	t_test
AL136084.2	4.55464053770571e-07	1.23434660728202e-05	0.155088126856952	t_test
AL136162.1	4.01645548777075e-07	1.10531059959546e-05	4.48278729453746	t_test
AL136295.2	0.0128591610562221	0.0359094259427156	1.90574061010994	t_test
AL136295.6	0.00155660380077431	0.00677370169842247	1.72118375253641	t_test
AL136531.1	0.00315005866669698	0.011746547306699	2.035674314177	t_test
AL137003.1	5.04342454204647e-09	3.70804616330163e-07	0.428467754365864	t_test
AL137060.3	1.90329269591415e-06	3.81122756913541e-05	5.55038114027951	t_test
AL137077.2	0.00064246887646449	0.00342511004920355	1.86802920599535	t_test
