lncRNA,miRNA,gene,immune_cell,algo,algo_num,cancer
INHBA-AS1,MIR141,SHC1,Neutrophil,TIMER; CIBERSORT; CIBERSORT.ABS,3,BLCA
INHBA-AS1,MIR141,SHC1,Macrophage,TIMER; XCELL; EPIC,3,BLCA
INHBA-AS1,MIR141,SHC1,Myeloid.dendritic.cell,TIMER; MCPCOUNTER,2,BLCA
INHBA-AS1,MIR141,SHC1,T.cell.regulatory..Tregs.,CIBERSORT; QUANTISEQ,2,BLCA
INHBA-AS1,MIR141,SHC1,cytotoxicity.score,MCPCOUNTER,1,BLCA
INHBA-AS1,MIR141,SHC1,NK.cell,MCPCOUNTER,1,BLCA
INHBA-AS1,MIR141,SHC1,Monocyte,MCPCOUNTER; XCELL,2,BLCA
INHBA-AS1,MIR141,SHC1,Cancer.associated.fibroblast,MCPCOUNTER; EPIC,2,BLCA
INHBA-AS1,MIR141,TNFAIP3,T.cell.CD8.,TIMER; QUANTISEQ,2,BLCA
INHBA-AS1,MIR141,TNFAIP3,Neutrophil,TIMER; CIBERSORT; CIBERSORT.ABS,3,BLCA
INHBA-AS1,MIR141,TNFAIP3,Macrophage,TIMER; XCELL; EPIC,3,BLCA
INHBA-AS1,MIR141,TNFAIP3,Myeloid.dendritic.cell,TIMER; MCPCOUNTER; XCELL,3,BLCA
INHBA-AS1,MIR141,TNFAIP3,T.cell.regulatory..Tregs.,CIBERSORT; QUANTISEQ,2,BLCA
INHBA-AS1,MIR141,TNFAIP3,cytotoxicity.score,MCPCOUNTER,1,BLCA
INHBA-AS1,MIR141,TNFAIP3,NK.cell,MCPCOUNTER; EPIC,2,BLCA
INHBA-AS1,MIR141,TNFAIP3,Monocyte,MCPCOUNTER; XCELL,2,BLCA
INHBA-AS1,MIR141,TNFAIP3,Cancer.associated.fibroblast,MCPCOUNTER; XCELL; EPIC,3,BLCA
INHBA-AS1,MIR141,TNFAIP3,immune.score,XCELL,1,BLCA
INHBA-AS1,MIR141,TNFAIP3,stroma.score,XCELL,1,BLCA
INHBA-AS1,MIR141,TNFAIP3,microenvironment.score,XCELL,1,BLCA
LINC00460,MIR149,BIRC5,T.cell.CD8.,TIMER; QUANTISEQ; MCPCOUNTER; EPIC,4,BLCA
LINC00460,MIR149,BIRC5,Neutrophil,TIMER,1,BLCA
LINC00460,MIR149,BIRC5,Macrophage,TIMER; XCELL; EPIC,3,BLCA
LINC00460,MIR149,BIRC5,Myeloid.dendritic.cell,TIMER; MCPCOUNTER,2,BLCA
LINC00460,MIR149,BIRC5,T.cell.regulatory..Tregs.,CIBERSORT,1,BLCA
LINC00460,MIR149,BIRC5,cytotoxicity.score,MCPCOUNTER,1,BLCA
LINC00460,MIR149,BIRC5,NK.cell,MCPCOUNTER; EPIC,2,BLCA
LINC00460,MIR149,BIRC5,Monocyte,MCPCOUNTER,1,BLCA
LINC00460,MIR149,BIRC5,Eosinophil,XCELL,1,BLCA
LINC00460,MIR149,BIRC5,microenvironment.score,XCELL,1,BLCA
LINC00460,MIR149,BIRC5,T.cell.CD4.,EPIC,1,BLCA
LINC00460,MIR149,BIRC5,Endothelial.cell,EPIC,1,BLCA
LINC00460,MIR149,CD3D,T.cell.CD8.,TIMER; QUANTISEQ; MCPCOUNTER,3,BLCA
LINC00460,MIR149,CD3D,Neutrophil,TIMER,1,BLCA
LINC00460,MIR149,CD3D,Macrophage,TIMER; XCELL; EPIC,3,BLCA
LINC00460,MIR149,CD3D,Myeloid.dendritic.cell,TIMER; QUANTISEQ; MCPCOUNTER; XCELL,4,BLCA
LINC00460,MIR149,CD3D,cytotoxicity.score,MCPCOUNTER,1,BLCA
LINC00460,MIR149,CD3D,NK.cell,MCPCOUNTER; EPIC,2,BLCA
LINC00460,MIR149,CD3D,Monocyte,MCPCOUNTER; XCELL,2,BLCA
LINC00460,MIR149,CD3D,Cancer.associated.fibroblast,MCPCOUNTER; EPIC,2,BLCA
LINC00460,MIR149,CD3D,Eosinophil,XCELL,1,BLCA
