"","lncRNA","MIRNA","addmir"
"2","HULC","MIR372","miR-372"
"3","HULC","MIR372","miR-372"
"4","BACE1-AS","MIR485","miR-485-5p"
"5","HOTAIR","MIR331","miR-331-3p"
"6","MRAK088388","MIR29B1","miR-29b-3p"
"7","MRAK088388","MIR29B2","miR-29b-3p"
"8","MRAK081523","MIRLET7I","let-7i"
"9","MRAK081523","MIRLET7I","let-7i"
"10","lincRNA-ROR","MIR145","miR-145"
"11","lincRNA-ROR","MIR145","miR-145"
"12","PTCSC3","MIR574","miR-574-5p"
"13","AK020764","MIR142","miR-142-3p"
"14","AK020764","MIR142","miR-142-5p"
"15","H19","MIRLET7B","let-7b"
"16","H19","MIRLET7B","let-7b"
"17","H19","MIRLET7C","let-7c"
"18","H19","MIRLET7C","let-7c"
"19","H19","MIRLET7E","let-7e"
"20","H19","MIRLET7E","let-7e"
"21","H19","MIRLET7I","let-7i"
"22","H19","MIRLET7I","let-7i"
"23","GAS5","MIR21","miR-21"
"24","GAS5","MIR21","miR-21"
"25","CARL","MIR539","miR-539"
"26","CARL","MIR539","miR-539"
"27","CHRF","MIR489","miR-489"
"28","CHRF","MIR489","miR-489"
"29","lincRNA-p21","MIRLET7B","let-7b"
"30","lincRNA-p21","MIRLET7B","let-7b"
"31","lincRNA-p21","MIRLET7C","let-7c"
"32","lincRNA-p21","MIRLET7C","let-7c"
"33","lincRNA-p21","MIRLET7E","let-7e"
"34","lincRNA-p21","MIRLET7E","let-7e"
"35","HOTAIR","MIR130A","miR-130a"
"36","HOTAIR","MIR130A","miR-130a"
"37","lincRNA-ROR","MIR205","miR-205"
"38","lincRNA-ROR","MIR205","miR-205"
"39","HOST2","MIRLET7B","let-7b"
"40","HOST2","MIRLET7B","let-7b"
"41","CASC2","MIR21","miR-21"
"42","CASC2","MIR21","miR-21"
"43","H19","MIR141","miR-141"
"44","H19","MIR141","miR-141"
"45","H19","MIR200A","miR-200a"
"46","H19","MIR200A","miR-200a"
"47","MIAT","MIR150","miR-150-5p"
"48","CCAT2","MIR424","miR-424"
"49","CCAT2","MIR424","miR-424"
"50","PVT1","MIR203","miR-203a"
"51","PVT1","MIR203","miR-203a"
"52","XLOC_008466","MIR874","miR-874"
"53","XLOC_008466","MIR874","miR-874"
"54","MALAT1","MIR146B","miR-146b-5p"
"55","LINC00668","MIR297","miR-297"
"56","LINC00668","MIR297","miR-297"
"57","HOTAIR","MIR217","miR-217"
"58","HOTAIR","MIR217","miR-217"
"59","HOXA11-AS","MIR124-1","miR-124-3p"
"60","HOXA11-AS","MIR124-2","miR-124-3p"
"61","HOXA11-AS","MIR124-3","miR-124-3p"
"62","ANRIL","MIR186","miR-186"
"63","ANRIL","MIR186","miR-186"
"64","UCA1","MIR122","miR-122"
"65","UCA1","MIR122","miR-122"
"66","NEAT1","MIR34A","miR-34a"
"67","NEAT1","MIR34A","miR-34a"
"68","HOXA-AS2","MIR520C","miR-520c-3p"
"69","H19","MIR152","miR-152"
"70","H19","MIR152","miR-152"
"71","MALAT1","MIR143","miR-143-3p"
"72","AF113014","MIR20A","miR-20a"
"73","AF113014","MIR20A","miR-20a"
"74","N-BLR","MIR141","miR-141-3p"
"75","N-BLR","MIR200C","miR-200c-3p"
"76","MALAT1","MIR145","miR-145"
"77","MALAT1","MIR145","miR-145"
"78","HOTTIP","MIR30B","miR-30b"
"79","HOTTIP","MIR30B","miR-30b"
"80","n336694","MIR106B","miR-106b"
"81","n336694","MIR106B","miR-106b"
"82","MALAT1","MIR204","miR-204"
"83","MALAT1","MIR204","miR-204"
"84","PVT1","MIR488","miR-488-3p"
"85","GAS5","MIR221","miR-221"
"86","GAS5","MIR221","miR-221"
"87","TUG1","MIR142","miR-142"
"88","TUG1","MIR142","miR-142"
"89","UCC","MIR143","miR-143"
"90","UCC","MIR143","miR-143"
"91","CRNDE","MIR136","miR-136"
"92","CRNDE","MIR136","miR-136"
"93","TUSC7","MIR211","miR-211-3p"
"94","PVT1","MIR186","miR-186"
"95","PVT1","MIR186","miR-186"
"96","SNHG1","MIR338","miR-338-3p"
"97","linc-NeD125","MIR19A","miR-19a-3p"
"98","linc-NeD125","MIR19B1","miR-19b-3p"
"99","linc-NeD125","MIR19B2","miR-19b-3p"
"100","linc-NeD125","MIR106A","miR-106a-5p"
"101","CCAT1","MIR33A","miR-33a"
"102","CCAT1","MIR33A","miR-33a"
"103","SNHG1","MIR199A1","miR-199a-3p"
"104","SNHG1","MIR199A2","miR-199a-3p"
"105","TP73-AS1","MIR142","miR-142"
"106","TP73-AS1","MIR142","miR-142"
"107","MALAT1","MIR142","miR-142-3p"
"108","MALAT1","MIR129-1","miR-129-5p"
"109","MALAT1","MIR129-2","miR-129-5p"
"110","UCA1","MIR204","miR-204"
"111","UCA1","MIR204","miR-204"
"112","LOC100129148","MIR539","miR-539-5p"
"113","H19","MIR181D","miR-181d"
"114","H19","MIR181D","miR-181d"
"115","MEG3","MIR133A1","miR-133a-3p"
"116","MEG3","MIR133A2","miR-133a-3p"
"117","TUG1","MIR186","miR-186"
"118","TUG1","MIR186","miR-186"
"119","LncRNA-ATB","MIR200A","miR-200a"
"120","LncRNA-ATB","MIR200A","miR-200a"
"121","lncRNA-MODR","MIR454","miR-454"
"122","lncRNA-MODR","MIR454","miR-454"
"123","HOTAIRM1","MIR3960","miR-3960"
"124","HOTAIRM1","MIR3960","miR-3960"
"125","MEG3","MIR19A","miR-19a"
"126","MEG3","MIR19A","miR-19a"
"127","PVT1","MIR424","miR-424"
"128","PVT1","MIR424","miR-424"
"129","PVT1","MIR152","miR-152"
"130","PVT1","MIR152","miR-152"
"131","SNHG16","MIR98","miR-98"
"132","SNHG16","MIR98","miR-98"
"133","RPPH1","MIR330","miR-330-5p"
"134","TUG1","MIR335","miR-335-5p"
"135","STX12","MIR148A","miR-148a"
"136","STX12","MIR148A","miR-148a"
"137","Lnc-MKI67IP-3","MIRLET7E","let-7e"
"138","Lnc-MKI67IP-3","MIRLET7E","let-7e"
"139","PVT1","MIR200B","miR-200b"
"140","PVT1","MIR200B","miR-200b"
"141","PVT1","MIR200C","miR-200c"
"142","PVT1","MIR200C","miR-200c"
"143","PVT1","MIR429","miR-429"
"144","PVT1","MIR429","miR-429"
"145","TCONS_147426","MIR200B","miR-200b"
"146","TCONS_147426","MIR200B","miR-200b"
"147","TCONS_147426","MIR200C","miR-200c"
"148","TCONS_147426","MIR200C","miR-200c"
"149","TCONS_147426","MIR429","miR-429"
"150","TCONS_147426","MIR429","miR-429"
"151","NEAT1","MIR181D","miR-181d-5p"
"152","ENST00000535511","MIR133B","miR-133b"
"153","ENST00000535511","MIR133B","miR-133b"
"154","LINC00858","MIR422A","miR-422a"
"155","LINC00858","MIR422A","miR-422a"
"156","MEG3","MIR214","miR-214"
"157","MEG3","MIR214","miR-214"
"158","PlncRNA1","MIR34C","miR-34c"
"159","PlncRNA1","MIR34C","miR-34c"
"160","MALAT1","MIR217","miR-217"
"161","MALAT1","MIR217","miR-217"
"162","MALAT1","MIR202","miR-202"
"163","MALAT1","MIR202","miR-202"
"164","H19","MIR200B","miR-200b"
"165","H19","MIR200B","miR-200b"
"166","H19","MIR200C","miR-200c"
"167","H19","MIR200C","miR-200c"
"168","UCA1","MIR182","miR-182"
"169","UCA1","MIR182","miR-182"
"170","MHENCR","MIR425","miR-425"
"171","MHENCR","MIR425","miR-425"
"172","MHENCR","MIR489","miR-489"
"173","MHENCR","MIR489","miR-489"
"174","HOTAIR","MIR34A","miR-34a"
"175","HOTAIR","MIR34A","miR-34a"
"176","GAS5","MIR135B","miR-135b"
"177","GAS5","MIR135B","miR-135b"
"178","MTDH","MIR130B","miR-130b"
"179","MTDH","MIR130B","miR-130b"
"180","CRNDE","MIR181A2","miR-181a-5p"
"181","CRNDE","MIR181A1","miR-181a-5p"
"182","ZEB1-AS1","MIR200A","miR-200a"
"183","ZEB1-AS1","MIR200A","miR-200a"
"184","ZEB1-AS1","MIR200B","miR-200b"
"185","ZEB1-AS1","MIR200B","miR-200b"
"186","ZEB1-AS1","MIR200C","miR-200c"
"187","ZEB1-AS1","MIR200C","miR-200c"
"188","ZEB1-AS1","MIR141","miR-141"
"189","ZEB1-AS1","MIR141","miR-141"
"190","ZEB1-AS1","MIR429","miR-429"
"191","ZEB1-AS1","MIR429","miR-429"
"192","SNHG12","MIR199A1","miR-199a-5p"
"193","SNHG12","MIR199A2","miR-199a-5p"
"194","SNHG12","MIR199B","miR-199b-5p"
"195","XIST","MIR144","miR-144"
"196","XIST","MIR144","miR-144"
"197","SPRY4-IT1","MIR101-1","miR-101-3p"
"198","SPRY4-IT1","MIR101-2","miR-101-3p"
"199","TUG1","MIR145","miR-145-5p"
"200","H19","MIR675","miR-675"
"201","H19","MIR675","miR-675"
"202","MALAT1","MIR183","miR-183"
"203","MALAT1","MIR183","miR-183"
"204","XIST","MIR497","miR-497"
"205","XIST","MIR497","miR-497"
"206","RMRP","MIR206","miR-206"
"207","RMRP","MIR206","miR-206"
"208","MALAT1","MIR155","miR-155"
"209","MALAT1","MIR155","miR-155"
"210","H19","MIR29B1","miR-29b-3p"
"211","H19","MIR29B2","miR-29b-3p"
"212","5-Mar","MIR30A","miR-30a"
"213","5-Mar","MIR30A","miR-30a"
"214","SNHG5","MIR32","miR-32"
"215","SNHG5","MIR32","miR-32"
"216","AF147447","MIR34C","miR-34c"
"217","AF147447","MIR34C","miR-34c"
"218","GAS5","MIR23A","miR-23a"
"219","GAS5","MIR23A","miR-23a"
"220","EWSAT1","MIR326","miR-326"
"221","EWSAT1","MIR326","miR-326"
"222","EWSAT1","MIR330","miR-330-5p"
"223","PVT1","MIR195","miR-195"
"224","PVT1","MIR195","miR-195"
"225","GAS5","MIR2467","miR-2467-5p"
"226","GAS5","MIR3200","miR-3200-3p"
"227","GAS5","MIRLET7E","let-7e-5p"
"228","HULC","MIR373","miR-373"
"229","HULC","MIR373","miR-373"
"230","HOXA11-AS","MIR1297","miR-1297"
"231","HOXA11-AS","MIR1297","miR-1297"
"232","SOX2OT","MIR375","miR-375"
"233","SOX2OT","MIR375","miR-375"
"234","PVT1","MIR146A","miR-146a"
"235","PVT1","MIR146A","miR-146a"
"236","MALAT1","MIR200C","miR-200c"
"237","MALAT1","MIR200C","miR-200c"
"238","LINC00161","MIR645","miR-645"
"239","LINC00161","MIR645","miR-645"
"240","Unigene56159","MIR140","miR-140-5p"
"241","MALAT1","MIR206","miR-206"
"242","MALAT1","MIR206","miR-206"
"243","PCA3","MIR1261","miR-1261"
"244","PCA3","MIR1261","miR-1261"
"245","HOTAIRM1","MIR20A","miR-20a"
"246","HOTAIRM1","MIR20A","miR-20a"
"247","HOTAIRM1","MIR106B","miR-106b"
"248","HOTAIRM1","MIR106B","miR-106b"
"249","H19","MIR342","miR-342-3p"
"250","MALAT1","MIR375","miR-375"
"251","MALAT1","MIR375","miR-375"
"252","MIAT","MIR150","miR-150"
"253","MIAT","MIR150","miR-150"
"254","lncRpa","MIR671","miR-671"
"255","lncRpa","MIR671","miR-671"
"256","HOTAIR","MIR214","miR-214"
"257","HOTAIR","MIR214","miR-214"
"258","MALAT1","MIR25","miR-25"
"259","MALAT1","MIR25","miR-25"
"260","RBM24","MIR143","miR-143"
"261","RBM24","MIR143","miR-143"
"262","MIR143HG","MIR143","miR-143"
"263","MIR143HG","MIR143","miR-143"
"264","MALAT1","MIR22","miR-22"
"265","MALAT1","MIR22","miR-22"
"266","H19","MIR29A","miR-29a"
"267","H19","MIR29A","miR-29a"
"268","lncRNA-POIR","MIR182","miR-182"
"269","lncRNA-POIR","MIR182","miR-182"
"270","MALAT1","MIR122","miR-122"
"271","MALAT1","MIR122","miR-122"
"272","lncRNA-MSR","MIR152","miR-152"
"273","lncRNA-MSR","MIR152","miR-152"
"274","Lnc-Ang362","MIR221","miR-221"
"275","Lnc-Ang362","MIR221","miR-221"
"276","Lnc-Ang362","MIR222","miR-222"
"277","Lnc-Ang362","MIR222","miR-222"
"278","HOTAIR","MIR148B","miR-148b-3p"
"279","MALAT1","MIR363","miR-363-3p"
"280","LINC00324","MIR615","miR-615-5p"
"281","LINC00324","MIR4281","miR-4281"
"282","LINC00324","MIR4281","miR-4281"
"283","LOC400043","MIR28","miR-28-3p"
"284","LOC400043","MIR96","miR-96-5p"
"285","CA9","MIR34A","miR-34a"
"286","CA9","MIR34A","miR-34a"
"287","H19","MIR29A","miR-29a-3p"
"288","NEAT1","MIR377","miR-377-3p"
"289","HULC","MIR200A","miR-200a-3p"
"290","LncRNA-NRF","MIR873","miR-873"
"291","LncRNA-NRF","MIR873","miR-873"
"292","lncRNA-RNCR3","MIR185","miR-185-5p"
"293","LINC00673","MIR1231","miR-1231"
"294","LINC00673","MIR1231","miR-1231"
"295","MEG3","MIR1297","miR-1297"
"296","MEG3","MIR1297","miR-1297"
"297","HOTAIR","MIR141","miR-141"
"298","HOTAIR","MIR141","miR-141"
"299","H19","MIR17","miR-17-5p"
"300","H19","MIR630","miR-630"
"301","H19","MIR630","miR-630"
"302","HOTAIR","MIR214","miR-214-3p"
"303","HOTAIR","MIR330","miR-330-5p"
"304","H19","MIR874","miR-874"
"305","H19","MIR874","miR-874"
"306","HNF1A-AS1","MIR30B","miR-30b-5p"
"307","Ftx","MIR545","miR-545"
"308","Ftx","MIR545","miR-545"
"309","FER1L4","MIR106A","miR-106a-5p"
"310","ESAT-6","MIR155","miR-155"
"311","ESAT-6","MIR155","miR-155"
"312","MIR31HG","MIR193B","miR-193b"
"313","MIR31HG","MIR193B","miR-193b"
"314","BC032469","MIR1207","miR-1207-5p"
"315","miR-183 sponge","MIR183","miR-183"
"316","miR-183 sponge","MIR183","miR-183"
"317","TGFB2-OT1","MIR3960","miR-3960"
"318","TGFB2-OT1","MIR3960","miR-3960"
"319","TGFB2-OT1","MIR4488","miR-4488"
"320","TGFB2-OT1","MIR4488","miR-4488"
"321","GAS5","MIR222","miR-222"
"322","GAS5","MIR222","miR-222"
"323","lincRNA-ROR","MIRLET7I","let-7i-5p"
"324","lincRNA-ROR","MIRLET7B","let-7b-5p"
"325","lincRNA-ROR","MIRLET7E","let-7e-5p"
"326","lincRNA-ROR","MIRLET7E","let-7e-3p"
"327","lincRNA-ROR","MIRLET7B","let-7b-3p"
"328","lincRNA-ROR","MIRLET7C","let-7c-3p"
"329","HOTAIR","MIR148A","miR-148a"
"330","HOTAIR","MIR148A","miR-148a"
"331","XIST","MIR449A","miR-449a"
"332","XIST","MIR449A","miR-449a"
"333","TUG1","MIR300","miR-300"
"334","TUG1","MIR300","miR-300"
"335","FTH1P3","MIR224","miR-224-5p"
"336","HULC","MIR200A","miR-200a"
"337","HULC","MIR200A","miR-200a"
"338","DDAH1-V3","MIR21","miR-21"
"339","DDAH1-V3","MIR21","miR-21"
"340","TUG1","MIR9-1","miR-9-5p"
"341","TUG1","MIR9-2","miR-9-5p"
"342","TUG1","MIR9-3","miR-9-5p"
"343","UFC1","MIR34A","miR-34a"
"344","UFC1","MIR34A","miR-34a"
"345","XIST","MIR34A","miR-34a-5p"
"346","UCA1","MIR204","miR-204-5p"
"347","TUSC7","MIR10A","miR-10a"
"348","TUSC7","MIR10A","miR-10a"
"349","TUG1","MIR106A","miR-106a"
"350","TUG1","MIR106A","miR-106a"
"351","TUG1","MIR106B","miR-106b"
"352","TUG1","MIR106B","miR-106b"
"353","TUG1","MIR17","miR-17-5p"
"354","TUG1","MIR20A","miR-20a"
"355","TUG1","MIR20A","miR-20a"
"356","TUG1","MIR20B","miR-20b"
"357","TUG1","MIR20B","miR-20b"
"358","TUG1","MIR26B","miR-26b"
"359","TUG1","MIR26B","miR-26b"
"360","TUG1","MIR93","miR-93"
"361","TUG1","MIR93","miR-93"
"362","CTB-89H12.4","MIR106A","miR-106a"
"363","CTB-89H12.4","MIR106A","miR-106a"
"364","CTB-89H12.4","MIR106B","miR-106b"
"365","CTB-89H12.4","MIR106B","miR-106b"
"366","CTB-89H12.4","MIR17","miR-17-5p"
"367","CTB-89H12.4","MIR19A","miR-19a"
"368","CTB-89H12.4","MIR19A","miR-19a"
"369","CTB-89H12.4","MIR20A","miR-20a"
"370","CTB-89H12.4","MIR20A","miR-20a"
"371","CTB-89H12.4","MIR20B","miR-20b"
"372","CTB-89H12.4","MIR20B","miR-20b"
"373","CTB-89H12.4","MIR26B","miR-26b"
"374","CTB-89H12.4","MIR26B","miR-26b"
"375","CTB-89H12.4","MIR93","miR-93"
"376","CTB-89H12.4","MIR93","miR-93"
"377","UVA1","MIR485","miR-485-5p"
"378","H19","MIR22","miR-22"
"379","H19","MIR22","miR-22"
"380","LINC00162","MIR320A","miR-320a"
"381","LINC00162","MIR320A","miR-320a"
"382","LINC00162","MIR383","miR-383"
"383","LINC00162","MIR383","miR-383"
"384","PCGEM1","MIR770","miR-770"
"385","lincRNA-p21","MIR130B","miR-130b"
"386","lincRNA-p21","MIR130B","miR-130b"
"387","NEAT1","MIR449B","miR-449b-5p"
"388","CCAT1","MIRLET7B","let-7b"
"389","CCAT1","MIRLET7B","let-7b"
"390","CCAT1","MIRLET7C","let-7c"
"391","CCAT1","MIRLET7C","let-7c"
"392","CCAT1","MIRLET7E","let-7e"
"393","CCAT1","MIRLET7E","let-7e"
"394","UCA1","MIR216B","miR-216b"
"395","UCA1","MIR216B","miR-216b"
"396","H19","MIR106A","miR-106a"
"397","H19","MIR106A","miR-106a"
"398","miR-21 sponge","MIR21","miR-21"
"399","miR-21 sponge","MIR21","miR-21"
"400","AC026166.2-001","MIR24-1","miR-24-3p"
"401","AC026166.2-001","MIR24-2","miR-24-3p"
"402","ADAMTS9-AS2","MIR182","miR-182"
"403","ADAMTS9-AS2","MIR182","miR-182"
"404","ADAMTS9-AS2","MIR223","miR-223-3p"
"405","ADPGK-AS1","MIR205","miR-205-5p"
"406","ANRIL","MIR125A","miR-125a"
"407","ANRIL","MIR125A","miR-125a"
"408","ATB","MIR200C","miR-200c"
"409","ATB","MIR200C","miR-200c"
"410","ATB","MIR494","miR-494"
"411","ATB","MIR494","miR-494"
"412","ATB","MIR126","miR-126"
"413","ATB","MIR126","miR-126"
"414","BANCR","MIR532","miR-532-5p"
"415","BLACAT1","MIR361","miR-361"
"416","BLACAT1","MIR361","miR-361"
"417","CASC2","MIR221","miR-221"
"418","CASC2","MIR221","miR-221"
"419","CASC2","MIR18A","miR-18a-5p"
"420","CASC2","MIR183","miR-183"
"421","CASC2","MIR183","miR-183"
"422","CAT104","MIR381","miR-381"
"423","CAT104","MIR381","miR-381"
"424","CCAT1","MIR1290","miR-1290"
"425","CCAT1","MIR1290","miR-1290"
"426","CNALPTC1","MIR30A","miR-30a"
"427","CNALPTC1","MIR30A","miR-30a"
"428","CNALPTC1","MIR30B","miR-30b"
"429","CNALPTC1","MIR30B","miR-30b"
"430","CNALPTC1","MIR30D","miR-30d"
"431","CNALPTC1","MIR30D","miR-30d"
"432","CNALPTC1","MIR30E","miR-30e"
"433","CNALPTC1","MIR30E","miR-30e"
"434","CRNDE","MIR145","miR-145"
"435","CRNDE","MIR145","miR-145"
"436","CRNDE","MIR144","miR-144"
"437","CRNDE","MIR144","miR-144"
"438","DANCR","MIR758","miR-758-3p"
"439","DANCR","MIR33A","miR-33a-5p"
"440","DANCR","MIR33B","miR-33b-5p"
"441","DANCR","MIR1-2","miR-1-3p"
"442","DANCR","MIR1-1","miR-1-3p"
"443","DANCR","MIR206","miR-206"
"444","DANCR","MIR206","miR-206"
"445","DANCR","MIR613","miR-613"
"446","DANCR","MIR613","miR-613"
"447","DANCR","MIR335","miR-335-5p"
"448","DANCR","MIR1972-1","miR-1972"
"449","DANCR","MIR1972-2","miR-1972"
"450","DANCR","MIR34C","miR-34c"
"451","DANCR","MIR34C","miR-34c"
"452","DANCR","MIR577","miR-577"
"453","DANCR","MIR577","miR-577"
"454","DANCR","MIR634","miR-634"
"455","DANCR","MIR634","miR-634"
"456","DGCR5","MIR22","miR-22-3p"
"457","DGCR5","MIR330","miR-330-5p"
"458","Dleu2","MIR16-1","miR-16-1"
"459","Dleu2","MIR16-1","miR-16-1"
"460","ENST01108","MIR489","miR-489"
"461","ENST01108","MIR489","miR-489"
"462","FABP5P3","MIR589","miR-589-5p"
"463","FAL1","MIR1236","miR-1236"
"464","FAL1","MIR1236","miR-1236"
"465","FENDRR","MIR18A","miR-18a-5p"
"466","FEZF1-AS1","MIR4443","miR-4443"
"467","FEZF1-AS1","MIR4443","miR-4443"
"468","FEZF1-AS1","MIR107","miR-107"
"469","FEZF1-AS1","MIR107","miR-107"
"470","FLVCR1-AS1","MIR513C","miR-513c"
"471","FLVCR1-AS1","MIR513C","miR-513c"
"472","FOXD2-AS1","MIR143","miR-143"
"473","FOXD2-AS1","MIR143","miR-143"
"474","GACAT3","MIR149","miR-149"
"475","GACAT3","MIR149","miR-149"
"476","GAS5","MIR203","miR-203a"
"477","GAS5","MIR203","miR-203a"
"478","GAS5","MIR301A","miR-301a"
"479","GAS5","MIR301A","miR-301a"
"480","GUARDIN","MIR23A","miR-23a"
"481","GUARDIN","MIR23A","miR-23a"
"482","H19","MIR106A","miR-106a-5p"
"483","H19","MIR148A","miR-148a"
"484","H19","MIR148A","miR-148a"
"485","H19","MIR484","miR-484"
"486","H19","MIR484","miR-484"
"487","H19","MIR17","miR-17"
"488","H19","MIR17","miR-17"
"489","H19","MIR107","miR-107"
"490","H19","MIR107","miR-107"
"491","H19","MIR29B1","miR-29b-1"
"492","H19","MIR29B1","miR-29b-1"
"493","HAGLROS","MIR100","miR-100-5p"
"494","HCP5","MIR22","miR-22-3p"
"495","HCP5","MIR186","miR-186-5p"
"496","HCP5","MIR216A","miR-216a-5p"
"497","HOTAIR","MIR454","miR-454-3p"
"498","HOTAIR","MIR15B","miR-15b"
"499","HOTAIR","MIR15B","miR-15b"
"500","HOTAIR","MIR133A1","miR-133a-3p"
"501","HOTAIR","MIR133A2","miR-133a-3p"
"502","HOTAIR","MIR143","miR-143-3p"
"503","HOTAIR","MIR646","miR-646"
"504","HOTAIR","MIR646","miR-646"
"505","HOTAIR","MIR23B","miR-23b"
"506","HOTAIR","MIR23B","miR-23b"
"507","HOTAIR","MIR126","miR-126-5p"
"508","HOTAIR","MIR20A","miR-20a-5p"
"509","HOTTIP","MIR637","miR-637"
"510","HOTTIP","MIR637","miR-637"
"511","HOTTIP","MIR216A","miR-216a"
"512","HOTTIP","MIR216A","miR-216a"
"513","HOXA11-AS","MIR214","miR-214-3p"
"514","HOXA11-AS","MIR642B","miR-642b-3p"
"515","HOXD-AS1","MIR130A","miR-130a"
"516","HOXD-AS1","MIR130A","miR-130a"
"517","HOXD-AS1","MIR217","miR-217"
"518","HOXD-AS1","MIR217","miR-217"
"519","HOXD-AS1","MIR608","miR-608"
"520","HOXD-AS1","MIR608","miR-608"
"521","HULC","MIR150","miR-150"
"522","HULC","MIR150","miR-150"
"523","KCNQ1OT1","MIR504","miR-504"
"524","KCNQ1OT1","MIR504","miR-504"
"525","LINC00152","MIR193A","miR-193a-3p"
"526","LINC00152","MIR107","miR-107"
"527","LINC00152","MIR107","miR-107"
"528","LINC00174","MIR1910","miR-1910-3p"
"529","LINC00319","MIR450B","miR-450b-5p"
"530","LINC00483","MIR30A","miR-30a-3p"
"531","LINC00511","MIR765","miR-765"
"532","LINC00511","MIR765","miR-765"
"533","LINC00675","MIR942","miR-942"
"534","LINC00675","MIR942","miR-942"
"535","LINC00894-002","MIR200A","miR-200a-3p"
"536","LINC00894-002","MIR200B","miR-200b-3p"
"537","LINC01016","MIR302A","miR-302a-3p"
"538","LINC01016","MIR3130-1","miR-3130-3p"
"539","LINC01016","MIR3130-2","miR-3130-3p"
"540","LINC01088","MIR24-1","miR-24-1-5p"
"541","LINC01234","MIR204","miR-204-5p"
"542","ATB","MIR200A","miR-200a"
"543","ATB","MIR200A","miR-200a"
"544","ATB","MIR200B","miR-200b"
"545","ATB","MIR200B","miR-200b"
"546","LUCAT1","MIR375","miR-375"
"547","LUCAT1","MIR375","miR-375"
"548","MALAT1","MIR145","miR-145-5p"
"549","MALAT1","MIR17","miR-17"
"550","MALAT1","MIR17","miR-17"
"551","MALAT1","MIR20A","miR-20a"
"552","MALAT1","MIR20A","miR-20a"
"553","MALAT1","MIR106B","miR-106b"
"554","MALAT1","MIR106B","miR-106b"
"555","MAP3K20","MIR375","miR-375"
"556","MAP3K20","MIR375","miR-375"
"557","MCM3AP-AS1","MIR211","miR-211"
"558","MCM3AP-AS1","MIR211","miR-211"
"559","MEG3","MIR21","miR-21"
"560","MEG3","MIR21","miR-21"
"561","MIAT","MIR141","miR-141"
"562","MIAT","MIR141","miR-141"
"563","MIAT","MIR214","miR-214"
"564","MIAT","MIR214","miR-214"
"565","MIAT","MIR132","miR-132"
"566","MIAT","MIR132","miR-132"
"567","MIAT","MIR34A","miR-34a"
"568","MIAT","MIR34A","miR-34a"
"569","MIR100HG","MIR100","miR-100"
"570","MIR100HG","MIR100","miR-100"
"571","MIR222HG","MIR221","miR-221"
"572","MIR222HG","MIR221","miR-221"
"573","MIR222HG","MIR222","miR-222"
"574","MIR222HG","MIR222","miR-222"
"575","MIR503HG","MIR503","miR-503"
"576","MIR503HG","MIR503","miR-503"
"577","MNX1-AS1","MIR4443","miR-4443"
"578","MNX1-AS1","MIR4443","miR-4443"
"579","MT1JP","MIR214","miR-214-3p"
"580","MT1JP","MIR92A1","miR-92a-3p"
"581","MT1JP","MIR92A2","miR-92a-3p"
"582","MYCNOS-01","MIR485","miR-485-5p"
"583","n335586","MIR924","miR-924"
"584","n335586","MIR924","miR-924"
"585","NEAT1","MIRLET7A1","let-7a-5p"
"586","NEAT1","MIRLET7A2","let-7a-5p"
"587","NEAT1","MIRLET7A3","let-7a-5p"
"588","NEAT1","MIR124-1","miR-124-3p"
"589","NEAT1","MIR124-2","miR-124-3p"
"590","NEAT1","MIR124-3","miR-124-3p"
"591","NEAT1","MIR34C","miR-34c"
"592","NEAT1","MIR34C","miR-34c"
"593","NEAT1","MIR506","miR-506"
"594","NEAT1","MIR506","miR-506"
"595","NEAT1","MIR448","miR-448"
"596","NEAT1","MIR448","miR-448"
"597","NEAT1","MIR129-1","miR-129-5p"
"598","NEAT1","MIR129-2","miR-129-5p"
"599","NEAT1","MIR106B","miR-106b-5p"
"600","NNT-AS1","MIR142","miR-142-3p"
"601","NORAD","MIR202","miR-202-5p"
"602","NR2F1-AS1","MIR363","miR-363"
"603","NR2F1-AS1","MIR363","miR-363"
"604","PAX8-AS1-N","MIR17","miR-17-5p"
"605","PlncRNA-1","MIR204","miR-204"
"606","PlncRNA-1","MIR204","miR-204"
"607","PRLB","MIR4766","miR-4766-5p"
"608","PTENP1-AS","MIR21","miR-21"
"609","PTENP1-AS","MIR21","miR-21"
"610","PVT1","MIR455","miR-455"
"611","PVT1","MIR455","miR-455"
"612","PVT1","MIR26B","miR-26b"
"613","PVT1","MIR26B","miR-26b"
"614","PVT1","MIR190","miR-190a-5p"
"615","PWRN1","MIR425","miR-425-5p"
"616","RP11-169D4.1","MIR205","miR-205-5p"
"617","RP11-396F22.1","MIR32","miR-32"
"618","RP11-396F22.1","MIR32","miR-32"
"619","RP11-909B2.1","MIR595","miR-595"
"620","RP11-909B2.1","MIR595","miR-595"
"621","RP4","MIR7-1","miR-7-5p"
"622","RP4","MIR7-2","miR-7-5p"
"623","RP4","MIR7-3","miR-7-5p"
"624","SMARCC2","MIR551B","miR-551b-3p"
"625","SNHG1","MIR145","miR-145-5p"
"626","SNHG12","MIR424","miR-424-5p"
"627","SNHG14","MIR145","miR-145"
"628","SNHG14","MIR145","miR-145"
"629","SNHG14","MIR92A1","miR-92a-3p"
"630","SNHG14","MIR92A2","miR-92a-3p"
"631","SNHG15","MIR98","miR-98"
