"","lncRNA","MIRNA","addmir"
"2554","LINC00473","MIR513A2","miR-513a-3p"
"2555","Linc00475","MIR141","miR-141-3p"
"2556","LINC00519","MIR876","miR-876-3p"
"2557","LINC00657","MIR20A","miR-20a-5p"
"2558","LINC00657","MIR424","miR-424-5p"
"2559","LINC00662","MIR320D1","miR-320d"
"2560","LINC00662","MIR320D2","miR-320d"
"2561","linc00662","MIR145","miR-145-5p"
"2562","LINC00662","MIR890","miR-890"
"2563","LINC00662","MIR890","miR-890"
"2564","LINC00662","MIR34A","miR-34a-5p"
"2565","LINC00665","MIR224","miR-224-5p"
"2566","LINC00665","MIR3619","miR-3619-5p"
"2567","LINC00667","MIR200C","miR-200c-3p"
"2568","LINC00673","MIR126","miR-126-5p"
"2569","LINC00675","MIR942","miR-942-5p"
"2570","LINC00689","MIR142","miR-142-3p"
"2571","LINC00707","MIR613","miR-613"
"2572","LINC00707","MIR613","miR-613"
"2573","LINC00707","MIR223","miR-223-5p"
"2574","LINC00858","MIR363","miR-363-3p"
"2575","LINC00858","MIR153-1","miR-153-3p"
"2576","LINC00858","MIR153-2","miR-153-3p"
"2577","LINC00861","MIR513B","miR-513b-5p"
"2578","LINC00887","MIR206","miR-206"
"2579","LINC00887","MIR206","miR-206"
"2580","LINC00887","MIR3545","miR-203b-3p"
"2581","LINC00958","MIR106A","miR-106a-5p"
"2582","LINC00998","MIR34C","miR-34c-5p"
"2583","LINC01006","MIR34A","miR-34a-5p"
"2584","LINC01089","MIR3187","miR-3187-3p"
"2585","LINC01089","MIR27A","miR-27a-3p"
"2586","LINC01089","MIR27A","miR-27a"
"2587","LINC01089","MIR27A","miR-27a"
"2588","LINC01094","MIR577","miR-577"
"2589","LINC01094","MIR577","miR-577"
"2590","LINC01116","MIR9-1","miR-9-5p"
"2591","LINC01116","MIR9-2","miR-9-5p"
"2592","LINC01116","MIR9-3","miR-9-5p"
"2593","LINC01123","MIR449B","miR-449b-5p"
"2594","LINC01126","MIR518A1","miR-518a-5p"
"2595","LINC01126","MIR518A2","miR-518a-5p"
"2596","LINC01128","MIR299","miR-299-3p"
"2597","LINC01133","MIR30A","miR-30a-5p"
"2598","LINC01133","MIR30B","miR-30b-5p"
"2599","LINC01133","MIR495","miR-495-3p"
"2600","LINC01152","MIR466","miR-466"
"2601","LINC01152","MIR466","miR-466"
"2602","LINC01189","MIR155","miR-155-5p"
"2603","LINC01207","MIR3125","miR-3125"
"2604","LINC01207","MIR3125","miR-3125"
"2605","LINC01278","MIR134","miR-134-5p"
"2606","LINC01305","MIR129-1","miR-129-5p"
"2607","LINC01305","MIR129-2","miR-129-5p"
"2608","LINC01315","MIR205","miR-205-3p"
"2609","LINC01426","MIR519D","miR-519d-5p"
"2610","LINC01503","MIR133A1","miR-133a-5p"
"2611","LINC01503","MIR133A2","miR-133a-5p"
"2612","LINC01572","MIR497","miR-497-5p"
"2613","LINC01667","MIR138-2","miR-138-5p"
"2614","LINC01667","MIR138-1","miR-138-5p"
"2615","Linc01833","MIR519E","miR-519e-3p"
"2616","LINC02418","MIR34B","miR-34b-5p"
"2617","LINC02747","MIR608","miR-608"
"2618","LINC02747","MIR608","miR-608"
"2619","linc-FAM138B","MIR765","miR-765"
"2620","linc-FAM138B","MIR765","miR-765"
"2621","LINC-P21","MIR766","miR-766-3p"
"2622","LincRNA-p21","MIR17","miR-17-5p"
"2623","Lnc712","MIR142","miR-142-3p"
"2624","LncOR13C9","MIR23A","miR-23a-5p"
"2625","LncRNA-RP11","MIR29A","miR-29a"
"2626","LncRNA-RP11","MIR29A","miR-29a"
"2627","lncRNA-SNHG7-003","MIR1306","miR-1306-5p"
"2628","LOC100912373","MIR17","miR-17-5p"
"2629","LOC400043","MIR21","miR-21"
"2630","LOC400043","MIR21","miR-21"
"2631","LOC400043","MIR590","miR-590"
"2632","LOC400043","MIR590","miR-590"
"2633","LOC400043","MIR27A","miR-27a"
"2634","LOC400043","MIR27A","miR-27a"
"2635","LOC441178","MIR182","miR-182"
"2636","LOC441178","MIR182","miR-182"
"2637","LOXL1-AS1","MIR589","miR-589-5p"
"2638","LUADT1","MIR195","miR-195"
"2639","LUADT1","MIR195","miR-195"
"2640","LUCAT1","MIR181C","miR-181c-5p"
"2641","LUCAT1","MIR493","miR-493-5p"
"2642","LUNAR1","MIR495","miR-495-3p"
"2643","MALAT1","MIR181A2","miR-181a-5p"
"2644","MALAT1","MIR181A1","miR-181a-5p"
"2645","MALAT1","MIR211","miR-211"
"2646","MALAT1","MIR211","miR-211"
"2647","MALAT1","MIR149","miR-149-5p"
"2648","MALAT1","MIR141","miR-141-3p"
"2649","MALAT1","MIR370","miR-370-3p"
"2650","MALAT1","MIR204","miR-204-5p"
"2651","MALAT1","MIR30B","miR-30b"
"2652","MALAT1","MIR30B","miR-30b"
"2653","MALAT1","MIR22","miR-22-3p"
"2654","MALAT1","MIR216B","miR-216b"
"2655","MALAT1","MIR216B","miR-216b"
"2656","MALAT1","MIR429","miR-429"
"2657","MALAT1","MIR429","miR-429"
"2658","MALAT1","MIR324","miR-324-3p"
"2659","MALAT1","MIR3129","miR-3129-5p"
"2660","MALAT1","MIR1271","miR-1271-5p"
"2661","MALAT1","MIR194-1","miR-194-5p"
"2662","MALAT1","MIR194-2","miR-194-5p"
"2663","MAPK8IP1P2","MIR146B","miR-146b-3p"
"2664","MCM3AP-AS1","MIR599","miR-599"
"2665","MCM3AP-AS1","MIR599","miR-599"
"2666","MEG3","MIR216A","miR-216a"
"2667","MEG3","MIR216A","miR-216a"
"2668","MEG3","MIR4513","miR-4513"
"2669","MEG3","MIR4513","miR-4513"
"2670","MEG3","MIR181A2","miR-181a-2-3p"
"2671","MEG3","MIR21","miR-21-5p"
"2672","MEG3","MIR129-1","miR-129-5p"
"2673","MEG3","MIR129-2","miR-129-5p"
"2674","MEG3","MIR103A2","miR-103a-3p"
"2675","MEG3","MIR103A1","miR-103a-3p"
"2676","MEG3","MIR29C","miR-29c"
"2677","MEG3","MIR29C","miR-29c"
"2678","MEG8","MIR367","miR-367-3p"
"2679","MIAT","MIR488","miR-488-3p"
"2680","MIAT","MIR495","miR-495"
"2681","MIAT","MIR495","miR-495"
"2682","MIAT","MIR147","miR-147a"
"2683","MIAT","MIR147","miR-147a"
"2684","MIAT","MIR140","miR-140-3p"
"2685","MIAT","MIR342","miR-342-3p"
"2686","MIAT","MIR29A","miR-29a-5p"
"2687","MIAT","MIR1246","miR-1246"
"2688","MIAT","MIR1246","miR-1246"
"2689","MIAT","MIR130A","miR-130a-3p"
"2690","MIR194-2HG","MIR1207","miR-1207-5p"
"2691","MIR4435-2HG","MIR22","miR-22-3p"
"2692","MIR4713HG","MIRLET7C","let-7c-5p"
"2693","MIR497HG","MIR497","miR-497"
"2694","MIR497HG","MIR497","miR-497"
"2695","miR503HG","MIR15B","miR-15b"
"2696","miR503HG","MIR15B","miR-15b"
"2697","MRPL43","MIR608","miR-608"
"2698","MRPL43","MIR608","miR-608"
"2699","MRUL","MIR17","miR-17-5p"
"2700","MSC-AS1","MIR373","miR-373-3p"
"2701","MSC-AS1","MIR429","miR-429"
"2702","MSC-AS1","MIR429","miR-429"
"2703","MYLK-AS1","MIR424","miR-424-5p"
"2704","NCK1-AS1","MIR137","miR-137"
"2705","NCK1-AS1","MIR137","miR-137"
"2706","NCK1-AS1","MIR100","miR-100"
"2707","NCK1-AS1","MIR100","miR-100"
"2708","NEAT1","MIR204","miR-204-5p"
"2709","NEAT1","MIR27B","miR-27b-3p"
"2710","NEAT1","MIR503","miR-503"
"2711","NEAT1","MIR503","miR-503"
