lncRNA,miRNA,gene,DE_type,cancer,ceRNA
AC068338.3,MIR193B,NR2F6,lnc_gene_sig,BRCA,AC068338.3-MIR193B-NR2F6
AC068338.3,MIR193B,PSMC5,lnc_gene_sig,BRCA,AC068338.3-MIR193B-PSMC5
AC068338.3,MIR193B,TOR2A,lnc_gene_sig,BRCA,AC068338.3-MIR193B-TOR2A
AC083799.1,MIR218-2,ELAVL1,gene_sig,BRCA,AC083799.1-MIR218-2-ELAVL1
AC083799.1,MIR218-2,HDGF,gene_sig,BRCA,AC083799.1-MIR218-2-HDGF
AC083799.1,MIR218-2,PPIA,gene_sig,BRCA,AC083799.1-MIR218-2-PPIA
AC083799.1,MIR218-2,RFX5,gene_sig,BRCA,AC083799.1-MIR218-2-RFX5
AC083799.1,MIR218-2,S100A11,gene_sig,BRCA,AC083799.1-MIR218-2-S100A11
AC091153.3,MIR218-2,BIRC5,gene_sig,BRCA,AC091153.3-MIR218-2-BIRC5
AC091153.3,MIR218-2,HDGF,gene_sig,BRCA,AC091153.3-MIR218-2-HDGF
AC091153.3,MIR218-2,HLA-A,gene_sig,BRCA,AC091153.3-MIR218-2-HLA-A
AC091153.3,MIR218-2,PPIA,gene_sig,BRCA,AC091153.3-MIR218-2-PPIA
AC091153.3,MIR218-2,S100A11,gene_sig,BRCA,AC091153.3-MIR218-2-S100A11
AC092368.3,MIR494,AKT1,gene_sig,BRCA,AC092368.3-MIR494-AKT1
AC092368.3,MIR494,PDIA3,gene_sig,BRCA,AC092368.3-MIR494-PDIA3
AC092368.3,MIR625,AKT1,gene_sig,BRCA,AC092368.3-MIR625-AKT1
AC092368.3,MIR625,CALR,gene_sig,BRCA,AC092368.3-MIR625-CALR
AC092718.4,MIR185,HSP90AA1,lnc_sig,BRCA,AC092718.4-MIR185-HSP90AA1
AC092718.4,MIR185,HSP90AB1,lnc_sig,BRCA,AC092718.4-MIR185-HSP90AB1
AC092718.4,MIR320B2,PPIA,lnc_gene_sig,BRCA,AC092718.4-MIR320B2-PPIA
AC092718.4,MIR320C1,MDK,lnc_gene_sig,BRCA,AC092718.4-MIR320C1-MDK
AC092718.4,MIR320C2,MDK,lnc_gene_sig,BRCA,AC092718.4-MIR320C2-MDK
AC092718.4,MIR629,PPP3R1,lnc_sig,BRCA,AC092718.4-MIR629-PPP3R1
AC093297.2,MIR140,STC2,lnc_sig,BRCA,AC093297.2-MIR140-STC2
AC093297.2,MIR145,ESR1,lnc_miR_gene_sig,BRCA,AC093297.2-MIR145-ESR1
AC093297.2,MIR145,ROBO2,lnc_miR_gene_sig,BRCA,AC093297.2-MIR145-ROBO2
AC095055.1,MIR193A,GDF11,lnc_sig,BRCA,AC095055.1-MIR193A-GDF11
AC095055.1,MIR193A,HMGB1,lnc_sig,BRCA,AC095055.1-MIR193A-HMGB1
AC095055.1,MIR193A,KRAS,lnc_gene_sig,BRCA,AC095055.1-MIR193A-KRAS
AC095055.1,MIR193A,MAPK8,lnc_sig,BRCA,AC095055.1-MIR193A-MAPK8
AC095055.1,MIR193A,MAVS,lnc_sig,BRCA,AC095055.1-MIR193A-MAVS
AC095055.1,MIR193A,PIK3R3,lnc_gene_sig,BRCA,AC095055.1-MIR193A-PIK3R3
AC095055.1,MIR193A,SEMA3D,lnc_gene_sig,BRCA,AC095055.1-MIR193A-SEMA3D
